Year,Naha Airport,Oroku,Pref Office,Omoromachi,Shuri,Tedako-Uranishi
2003,4127,3050,4559,2065,3386,
2004,3620,2739,4449,2659,2981,
2005,4162,2917,4767,3824,3135,
2006,4497,3103,4868,4370,3172,
2007,4607,3166,4916,4422,3191,
2008,4721,3137,4837,4528,3126,
2009,4096,3019,4564,3714,2939,
2010,4069,3064,4439,3759,2933,
2011,4069,3119,4466,3933,3049,
2012,4587,3066,4751,4357,3179,
2013,4706,3213,5205,4610,3214,
2014,4842,3262,5349,4817,3179,
2015,5269,3391,5822,5199,3366,
2016,5858,3511,6442,5525,3542,
2017,6501,3689,6680,5624,3599,
2018,7027,3775,7001,5753,3671,
2019,7191,3754,6813,5672,3316,1308
2020,2662,2258,3764,3119,1583,885
2021,3082,2391,3996,3281,1597,1112
2022,5805,3081,5539,4458,2078,1574
